timestamp, utilization.gpu [%], utilization.memory [%], pstate, pcie.link.gen.max, pcie.link.gen.current
2024/06/18 11:20:35.071, 86 %, 70 %, P0, 3, 3
2024/06/18 11:20:36.075, 86 %, 71 %, P0, 3, 3
2024/06/18 11:20:37.076, 84 %, 69 %, P0, 3, 3
2024/06/18 11:20:38.084, 90 %, 73 %, P0, 3, 3
2024/06/18 11:20:39.085, 62 %, 49 %, P0, 3, 3
2024/06/18 11:20:40.085, 82 %, 67 %, P0, 3, 3
2024/06/18 11:20:41.085, 85 %, 69 %, P0, 3, 3
2024/06/18 11:20:42.098, 83 %, 68 %, P0, 3, 3
2024/06/18 11:20:43.098, 86 %, 70 %, P0, 3, 3
2024/06/18 11:20:44.099, 62 %, 50 %, P0, 3, 3
2024/06/18 11:20:45.099, 86 %, 70 %, P0, 3, 3
2024/06/18 11:20:46.099, 86 %, 70 %, P0, 3, 3
2024/06/18 11:20:47.099, 86 %, 71 %, P0, 3, 3
2024/06/18 11:20:48.100, 86 %, 71 %, P0, 3, 3
2024/06/18 11:20:49.103, 86 %, 70 %, P0, 3, 3
2024/06/18 11:20:50.104, 87 %, 71 %, P0, 3, 3
2024/06/18 11:20:51.113, 62 %, 50 %, P0, 3, 3
2024/06/18 11:20:52.113, 61 %, 49 %, P0, 3, 3
2024/06/18 11:20:53.114, 86 %, 71 %, P0, 3, 3
2024/06/18 11:20:54.114, 83 %, 68 %, P0, 3, 3
2024/06/18 11:20:55.114, 85 %, 70 %, P0, 3, 3
2024/06/18 11:20:56.115, 84 %, 69 %, P0, 3, 3
2024/06/18 11:20:57.115, 85 %, 70 %, P0, 3, 3
2024/06/18 11:20:58.115, 87 %, 71 %, P0, 3, 3
2024/06/18 11:20:59.116, 75 %, 61 %, P0, 3, 3
2024/06/18 11:21:00.118, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:01.119, 85 %, 70 %, P0, 3, 3
2024/06/18 11:21:02.119, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:03.119, 63 %, 51 %, P0, 3, 3
2024/06/18 11:21:04.120, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:05.120, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:06.121, 83 %, 68 %, P0, 3, 3
2024/06/18 11:21:07.121, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:08.121, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:09.124, 83 %, 68 %, P0, 3, 3
2024/06/18 11:21:10.124, 86 %, 70 %, P0, 3, 3
2024/06/18 11:21:11.124, 85 %, 70 %, P0, 3, 3
2024/06/18 11:21:12.125, 85 %, 69 %, P0, 3, 3
2024/06/18 11:21:13.125, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:14.125, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:15.127, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:16.127, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:17.127, 85 %, 69 %, P0, 3, 3
